Strain	index	parent_compound	pval	hit	Oxygen	Type
A-07	M_HYDROCORTISONE_2	Hydrocortisone	1	FALSE	AA	C
A-08	M_HYDROCORTISONE_2	Hydrocortisone	0.8334471519209002	FALSE	AA	C
A-09	M_HYDROCORTISONE_2	Hydrocortisone	0.23829613074191497	FALSE	AA	C
C902	M_HYDROCORTISONE_2	Hydrocortisone	1	FALSE	AA	C
T-01	M_HYDROCORTISONE_2	Hydrocortisone	0.08745274887610625	FALSE	AA	C
T-02	M_HYDROCORTISONE_2	Hydrocortisone	0.059356206060802365	FALSE	AA	C
P-01	M_HYDROCORTISONE_2	Hydrocortisone	0.5741834571377546	FALSE	AA	C
P-02	M_HYDROCORTISONE_2	Hydrocortisone	0.07437466683423913	FALSE	AA	C
P-03	M_HYDROCORTISONE_2	Hydrocortisone	0.02528859849381856	TRUE	AA	C
C910	M_HYDROCORTISONE_2	Hydrocortisone	1	FALSE	AA	C
P-04	M_HYDROCORTISONE_2	Hydrocortisone	0.01716798026291011	TRUE	AA	C
T-03	M_HYDROCORTISONE_2	Hydrocortisone	1	FALSE	AA	C
T-04	M_HYDROCORTISONE_2	Hydrocortisone	0.5263342276072327	FALSE	AA	C
A-10	M_HYDROCORTISONE_2	Hydrocortisone	3.2652204260551655e-8	TRUE	AA	C
T-05	M_HYDROCORTISONE_2	Hydrocortisone	0.42481941230723014	FALSE	AA	C
C911	M_HYDROCORTISONE_2	Hydrocortisone	1	FALSE	AA	C
A-01	M_BETAMETHASONE_1	Betamethasone	1	FALSE	AA	C
A-02	M_BETAMETHASONE_1	Betamethasone	0.001070146794709779	TRUE	AA	C
A-03	M_BETAMETHASONE_1	Betamethasone	1.243024364605363e-5	TRUE	AA	C
A-04	M_BETAMETHASONE_1	Betamethasone	1.7772942228177065e-5	TRUE	AA	C
A-05	M_BETAMETHASONE_1	Betamethasone	1	FALSE	AA	C
C901	M_BETAMETHASONE_1	Betamethasone	1	FALSE	AA	C
A-06	M_BETAMETHASONE_1	Betamethasone	2.5686601089260647e-7	TRUE	AA	C
A-07	M_BETAMETHASONE_1	Betamethasone	8.871089860616713e-10	TRUE	AA	C
A-08	M_BETAMETHASONE_1	Betamethasone	1.1979639523125559e-4	TRUE	AA	C
A-09	M_BETAMETHASONE_1	Betamethasone	1.5289263687966126e-11	TRUE	AA	C
C902	M_BETAMETHASONE_1	Betamethasone	1	FALSE	AA	C
T-01	M_BETAMETHASONE_1	Betamethasone	0.855369552851998	FALSE	AA	C
T-02	M_BETAMETHASONE_1	Betamethasone	0.017091381418983212	TRUE	AA	C
P-01	M_BETAMETHASONE_1	Betamethasone	1	FALSE	AA	C
P-02	M_BETAMETHASONE_1	Betamethasone	2.313745170195129e-6	TRUE	AA	C
P-03	M_BETAMETHASONE_1	Betamethasone	1.8487634292747266e-4	TRUE	AA	C
C910	M_BETAMETHASONE_1	Betamethasone	1	FALSE	AA	C
P-04	M_BETAMETHASONE_1	Betamethasone	0.09673647382477149	FALSE	AA	C
T-03	M_BETAMETHASONE_1	Betamethasone	1	FALSE	AA	C
T-04	M_BETAMETHASONE_1	Betamethasone	1	FALSE	AA	C
A-10	M_BETAMETHASONE_1	Betamethasone	1	FALSE	AA	C
T-05	M_BETAMETHASONE_1	Betamethasone	0.6694791540378815	FALSE	AA	C
C911	M_BETAMETHASONE_1	Betamethasone	1	FALSE	AA	C
A-01	M_DEXAMETHASONE_3	Dexamethasone	1	FALSE	AA	C
A-02	M_DEXAMETHASONE_3	Dexamethasone	0.0071610361565151714	TRUE	AA	C
A-03	M_DEXAMETHASONE_3	Dexamethasone	0.004629185009146015	TRUE	AA	C
A-04	M_DEXAMETHASONE_3	Dexamethasone	2.530482976674582e-4	TRUE	AA	C
A-05	M_DEXAMETHASONE_3	Dexamethasone	1	FALSE	AA	C
C901	M_DEXAMETHASONE_3	Dexamethasone	1	FALSE	AA	C
A-06	M_DEXAMETHASONE_3	Dexamethasone	0.01366197550167863	TRUE	AA	C
A-07	M_DEXAMETHASONE_3	Dexamethasone	0.004352138402833532	TRUE	AA	C
A-08	M_DEXAMETHASONE_3	Dexamethasone	1	FALSE	AA	C
A-09	M_DEXAMETHASONE_3	Dexamethasone	1.7750333423606397e-5	TRUE	AA	C
C902	M_DEXAMETHASONE_3	Dexamethasone	1	FALSE	AA	C
T-01	M_DEXAMETHASONE_3	Dexamethasone	0.5520985044962052	FALSE	AA	C
T-02	M_DEXAMETHASONE_3	Dexamethasone	0.055175082157076394	FALSE	AA	C
P-01	M_DEXAMETHASONE_3	Dexamethasone	1	FALSE	AA	C
P-02	M_DEXAMETHASONE_3	Dexamethasone	0.0034579058700435665	TRUE	AA	C
P-03	M_DEXAMETHASONE_3	Dexamethasone	0.09288588199422988	FALSE	AA	C
C910	M_DEXAMETHASONE_3	Dexamethasone	1	FALSE	AA	C
P-04	M_DEXAMETHASONE_3	Dexamethasone	0.6047960891571171	FALSE	AA	C
T-03	M_DEXAMETHASONE_3	Dexamethasone	0.8066764710077718	FALSE	AA	C
T-04	M_DEXAMETHASONE_3	Dexamethasone	0.6694791540378815	FALSE	AA	C
A-10	M_DEXAMETHASONE_3	Dexamethasone	0.19505743755481397	FALSE	AA	C
T-05	M_DEXAMETHASONE_3	Dexamethasone	1	FALSE	AA	C
C911	M_DEXAMETHASONE_3	Dexamethasone	1	FALSE	AA	C
A-01	M_PREDNISONE_2	Prednisone	0.006650268133466808	TRUE	AA	C
A-02	M_PREDNISONE_2	Prednisone	1	FALSE	AA	C
A-03	M_PREDNISONE_2	Prednisone	1.878520192170786e-4	TRUE	AA	C
A-04	M_PREDNISONE_2	Prednisone	0.6150914638839143	FALSE	AA	C
A-05	M_PREDNISONE_2	Prednisone	0.09288588199422988	FALSE	AA	C
C901	M_PREDNISONE_2	Prednisone	1	FALSE	AA	C
A-06	M_PREDNISONE_2	Prednisone	2.1290066634225406e-15	TRUE	AA	C
A-07	M_PREDNISONE_2	Prednisone	0.2081635902519431	FALSE	AA	C
A-08	M_PREDNISONE_2	Prednisone	2.1794503979814857e-13	TRUE	AA	C
A-09	M_PREDNISONE_2	Prednisone	0.05661906547074033	FALSE	AA	C
C902	M_PREDNISONE_2	Prednisone	1	FALSE	AA	C
T-01	M_PREDNISONE_2	Prednisone	0.8066764710077718	FALSE	AA	C
T-02	M_PREDNISONE_2	Prednisone	0.027735687837738873	TRUE	AA	C
P-01	M_PREDNISONE_2	Prednisone	0.10957974897008874	FALSE	AA	C
P-02	M_PREDNISONE_2	Prednisone	0.14816450196950212	FALSE	AA	C
P-03	M_PREDNISONE_2	Prednisone	0.09408598399861155	FALSE	AA	C
C910	M_PREDNISONE_2	Prednisone	1	FALSE	AA	C
P-04	M_PREDNISONE_2	Prednisone	1.1824558947919632e-11	TRUE	AA	C
T-03	M_PREDNISONE_2	Prednisone	0.3585042107310823	FALSE	AA	C
T-04	M_PREDNISONE_2	Prednisone	1	FALSE	AA	C
A-10	M_PREDNISONE_2	Prednisone	8.404620422896995e-16	TRUE	AA	C
T-05	M_PREDNISONE_2	Prednisone	1	FALSE	AA	C
C911	M_PREDNISONE_2	Prednisone	1	FALSE	AA	C
A-01	M_METHYLPREDNISOLONE_1	Methylprednisolone	0.0655479990031045	FALSE	AA	C
A-02	M_METHYLPREDNISOLONE_1	Methylprednisolone	0.001037428031890373	TRUE	AA	C
A-03	M_METHYLPREDNISOLONE_1	Methylprednisolone	1	FALSE	AA	C
A-04	M_METHYLPREDNISOLONE_1	Methylprednisolone	5.820381973148785e-6	TRUE	AA	C
A-05	M_METHYLPREDNISOLONE_1	Methylprednisolone	1	FALSE	AA	C
C901	M_METHYLPREDNISOLONE_1	Methylprednisolone	1	FALSE	AA	C
A-06	M_METHYLPREDNISOLONE_1	Methylprednisolone	1	FALSE	AA	C
A-07	M_METHYLPREDNISOLONE_1	Methylprednisolone	2.4582761583346117e-8	TRUE	AA	C
A-08	M_METHYLPREDNISOLONE_1	Methylprednisolone	9.81808513208083e-4	TRUE	AA	C
A-09	M_METHYLPREDNISOLONE_1	Methylprednisolone	6.816896751242781e-5	TRUE	AA	C
C902	M_METHYLPREDNISOLONE_1	Methylprednisolone	1	FALSE	AA	C
T-01	M_METHYLPREDNISOLONE_1	Methylprednisolone	0.9484341728008258	FALSE	AA	C
T-02	M_METHYLPREDNISOLONE_1	Methylprednisolone	2.925403441240091e-4	TRUE	AA	C
P-01	M_METHYLPREDNISOLONE_1	Methylprednisolone	1	FALSE	AA	C
P-02	M_METHYLPREDNISOLONE_1	Methylprednisolone	0.1737039763358108	FALSE	AA	C
P-03	M_METHYLPREDNISOLONE_1	Methylprednisolone	0.7344084846574988	FALSE	AA	C
C910	M_METHYLPREDNISOLONE_1	Methylprednisolone	1	FALSE	AA	C
P-04	M_METHYLPREDNISOLONE_1	Methylprednisolone	1	FALSE	AA	C
T-03	M_METHYLPREDNISOLONE_1	Methylprednisolone	0.7072068594130191	FALSE	AA	C
T-04	M_METHYLPREDNISOLONE_1	Methylprednisolone	0.1817328304078223	FALSE	AA	C
A-10	M_METHYLPREDNISOLONE_1	Methylprednisolone	0.27938206886874734	FALSE	AA	C
T-05	M_METHYLPREDNISOLONE_1	Methylprednisolone	1	FALSE	AA	C
C911	M_METHYLPREDNISOLONE_1	Methylprednisolone	1	FALSE	AA	C
A-01	M_METHYLPREDNISOLONE_2	Methylprednisolone	0.0798886168894171	FALSE	AA	C
A-02	M_METHYLPREDNISOLONE_2	Methylprednisolone	0.34889910600263624	FALSE	AA	C
A-03	M_METHYLPREDNISOLONE_2	Methylprednisolone	0.4428391246764961	FALSE	AA	C
A-04	M_METHYLPREDNISOLONE_2	Methylprednisolone	1	FALSE	AA	C
A-05	M_METHYLPREDNISOLONE_2	Methylprednisolone	0.037677724729383535	TRUE	AA	C
C901	M_METHYLPREDNISOLONE_2	Methylprednisolone	1	FALSE	AA	C
A-06	M_METHYLPREDNISOLONE_2	Methylprednisolone	1	FALSE	AA	C
A-07	M_METHYLPREDNISOLONE_2	Methylprednisolone	1.584275027563971e-12	TRUE	AA	C
A-08	M_METHYLPREDNISOLONE_2	Methylprednisolone	1	FALSE	AA	C
A-09	M_METHYLPREDNISOLONE_2	Methylprednisolone	0.022844276221406647	FALSE	AA	C
C902	M_METHYLPREDNISOLONE_2	Methylprednisolone	1	FALSE	AA	C
T-01	M_METHYLPREDNISOLONE_2	Methylprednisolone	0.01678693599922595	FALSE	AA	C
T-02	M_METHYLPREDNISOLONE_2	Methylprednisolone	0.026285435366468247	TRUE	AA	C
P-01	M_METHYLPREDNISOLONE_2	Methylprednisolone	0.6553227747995991	FALSE	AA	C
P-02	M_METHYLPREDNISOLONE_2	Methylprednisolone	0.013886836640057895	FALSE	AA	C
P-03	M_METHYLPREDNISOLONE_2	Methylprednisolone	0.0222613521971852	FALSE	AA	C
C910	M_METHYLPREDNISOLONE_2	Methylprednisolone	1	FALSE	AA	C
P-04	M_METHYLPREDNISOLONE_2	Methylprednisolone	0.02445085202320913	FALSE	AA	C
T-03	M_METHYLPREDNISOLONE_2	Methylprednisolone	1	FALSE	AA	C
T-04	M_METHYLPREDNISOLONE_2	Methylprednisolone	1	FALSE	AA	C
A-10	M_METHYLPREDNISOLONE_2	Methylprednisolone	1.2362628474099702e-6	TRUE	AA	C
T-05	M_METHYLPREDNISOLONE_2	Methylprednisolone	0.41860339923598033	FALSE	AA	C
C911	M_METHYLPREDNISOLONE_2	Methylprednisolone	1	FALSE	AA	C
A-01	M_TACROLIMUS_8	Tacrolimus	0.9731438692914623	FALSE	AA	C
A-02	M_TACROLIMUS_8	Tacrolimus	1	FALSE	AA	C
A-03	M_TACROLIMUS_8	Tacrolimus	0.96370159402175	FALSE	AA	C
A-04	M_TACROLIMUS_8	Tacrolimus	0.7649404907529423	FALSE	AA	C
A-05	M_TACROLIMUS_8	Tacrolimus	1	FALSE	AA	C
C901	M_TACROLIMUS_8	Tacrolimus	1	FALSE	AA	C
A-06	M_TACROLIMUS_8	Tacrolimus	1.2138074082264522e-9	TRUE	AA	C
A-07	M_TACROLIMUS_8	Tacrolimus	1.5289263687966126e-11	TRUE	AA	C
A-08	M_TACROLIMUS_8	Tacrolimus	1.450099758081228e-12	TRUE	AA	C
A-09	M_TACROLIMUS_8	Tacrolimus	1.1550910950820127e-9	TRUE	AA	C
C902	M_TACROLIMUS_8	Tacrolimus	1	FALSE	AA	C
T-01	M_TACROLIMUS_8	Tacrolimus	1	FALSE	AA	C
T-02	M_TACROLIMUS_8	Tacrolimus	0.42481941230723014	FALSE	AA	C
P-01	M_TACROLIMUS_8	Tacrolimus	1	FALSE	AA	C
P-02	M_TACROLIMUS_8	Tacrolimus	0.1605230959045242	FALSE	AA	C
P-03	M_TACROLIMUS_8	Tacrolimus	0.46248041348883	FALSE	AA	C
C910	M_TACROLIMUS_8	Tacrolimus	1	FALSE	AA	C
P-04	M_TACROLIMUS_8	Tacrolimus	0.1584341864653982	FALSE	AA	C
T-03	M_TACROLIMUS_8	Tacrolimus	0.9048214726449002	FALSE	AA	C
T-04	M_TACROLIMUS_8	Tacrolimus	1	FALSE	AA	C
A-10	M_TACROLIMUS_8	Tacrolimus	7.403564741801148e-4	TRUE	AA	C
T-05	M_TACROLIMUS_8	Tacrolimus	1	FALSE	AA	C
C911	M_TACROLIMUS_8	Tacrolimus	1	FALSE	AA	C
A-01	M_SIROLIMUS_1	Sirolimus	1	FALSE	AA	C
A-02	M_SIROLIMUS_1	Sirolimus	1.232771962132811e-5	TRUE	AA	C
A-03	M_SIROLIMUS_1	Sirolimus	0.006830195913295692	TRUE	AA	C
A-04	M_SIROLIMUS_1	Sirolimus	1.3321547273552053e-8	TRUE	AA	C
A-05	M_SIROLIMUS_1	Sirolimus	0.15056927726004632	FALSE	AA	C
C901	M_SIROLIMUS_1	Sirolimus	1	FALSE	AA	C
A-06	M_SIROLIMUS_1	Sirolimus	9.037895774983465e-16	TRUE	AA	C
A-07	M_SIROLIMUS_1	Sirolimus	5.954531833448801e-22	TRUE	AA	C
A-08	M_SIROLIMUS_1	Sirolimus	5.523269717250458e-13	TRUE	AA	C
A-09	M_SIROLIMUS_1	Sirolimus	1.3384179849873336e-15	TRUE	AA	C
C902	M_SIROLIMUS_1	Sirolimus	1	FALSE	AA	C
T-01	M_SIROLIMUS_1	Sirolimus	0.4869569630901338	FALSE	AA	C
T-02	M_SIROLIMUS_1	Sirolimus	0.2766553833598377	FALSE	AA	C
P-01	M_SIROLIMUS_1	Sirolimus	0.855369552851998	FALSE	AA	C
P-02	M_SIROLIMUS_1	Sirolimus	0.9720941121728586	FALSE	AA	C
P-03	M_SIROLIMUS_1	Sirolimus	0.10957974897008874	FALSE	AA	C
C910	M_SIROLIMUS_1	Sirolimus	1	FALSE	AA	C
P-04	M_SIROLIMUS_1	Sirolimus	0.03819743019089786	TRUE	AA	C
T-03	M_SIROLIMUS_1	Sirolimus	0.8066764710077718	FALSE	AA	C
T-04	M_SIROLIMUS_1	Sirolimus	0.8066764710077718	FALSE	AA	C
A-10	M_SIROLIMUS_1	Sirolimus	4.57934626866651e-6	TRUE	AA	C
T-05	M_SIROLIMUS_1	Sirolimus	1	FALSE	AA	C
C911	M_SIROLIMUS_1	Sirolimus	1	FALSE	AA	C
A-01	M_AZATHIOPRINE_1	Azathioprine	0.24617208742295027	FALSE	AA	C
A-02	M_AZATHIOPRINE_1	Azathioprine	0.6764388282411748	FALSE	AA	C
A-03	M_AZATHIOPRINE_1	Azathioprine	1	FALSE	AA	C
A-04	M_AZATHIOPRINE_1	Azathioprine	1	FALSE	AA	C
A-05	M_AZATHIOPRINE_1	Azathioprine	0.032541276476131316	TRUE	AA	C
C901	M_AZATHIOPRINE_1	Azathioprine	1	FALSE	AA	C
A-06	M_AZATHIOPRINE_1	Azathioprine	0.061696426186602676	FALSE	AA	C
A-07	M_AZATHIOPRINE_1	Azathioprine	2.4708233185217115e-5	TRUE	AA	C
A-08	M_AZATHIOPRINE_1	Azathioprine	4.084527081358729e-5	TRUE	AA	C
A-09	M_AZATHIOPRINE_1	Azathioprine	0.0011115918883811142	TRUE	AA	C
C902	M_AZATHIOPRINE_1	Azathioprine	1	FALSE	AA	C
T-01	M_AZATHIOPRINE_1	Azathioprine	0.005849222794180097	TRUE	AA	C
T-02	M_AZATHIOPRINE_1	Azathioprine	0.33882746465460617	FALSE	AA	C
P-01	M_AZATHIOPRINE_1	Azathioprine	1.7691606355411049e-4	TRUE	AA	C
P-02	M_AZATHIOPRINE_1	Azathioprine	0.2987546867177411	FALSE	AA	C
P-03	M_AZATHIOPRINE_1	Azathioprine	1	FALSE	AA	C
C910	M_AZATHIOPRINE_1	Azathioprine	1	FALSE	AA	C
P-04	M_AZATHIOPRINE_1	Azathioprine	0.1817328304078223	FALSE	AA	C
T-03	M_AZATHIOPRINE_1	Azathioprine	0.4942484710009769	FALSE	AA	C
T-04	M_AZATHIOPRINE_1	Azathioprine	0.10023968987546356	FALSE	AA	C
A-10	M_AZATHIOPRINE_1	Azathioprine	0.311311622951176	FALSE	AA	C
T-05	M_AZATHIOPRINE_1	Azathioprine	0.0015653110466471042	TRUE	AA	C
C911	M_AZATHIOPRINE_1	Azathioprine	1	FALSE	AA	C
A-01	M_MTX_1	Methotrexate	1	FALSE	AA	C
A-02	M_MTX_1	Methotrexate	5.434815035736951e-5	TRUE	AA	C
A-03	M_MTX_1	Methotrexate	5.488302696198502e-15	TRUE	AA	C
A-04	M_MTX_1	Methotrexate	1.1306318781034277e-8	TRUE	AA	C
A-05	M_MTX_1	Methotrexate	0.6744363801405824	FALSE	AA	C
C901	M_MTX_1	Methotrexate	1	FALSE	AA	C
A-06	M_MTX_1	Methotrexate	2.251950817890727e-17	TRUE	AA	C
A-07	M_MTX_1	Methotrexate	2.8687345498500024e-15	TRUE	AA	C
A-08	M_MTX_1	Methotrexate	0.6694791540378815	FALSE	AA	C
A-09	M_MTX_1	Methotrexate	4.615070982745384e-57	TRUE	AA	C
C902	M_MTX_1	Methotrexate	1	FALSE	AA	C
T-01	M_MTX_1	Methotrexate	1	FALSE	AA	C
T-02	M_MTX_1	Methotrexate	7.674390653825135e-4	TRUE	AA	C
P-01	M_MTX_1	Methotrexate	0.9920964558646268	FALSE	AA	C
P-02	M_MTX_1	Methotrexate	1.6473107737086374e-12	TRUE	AA	C
P-03	M_MTX_1	Methotrexate	3.5010043053515363e-9	TRUE	AA	C
C910	M_MTX_1	Methotrexate	1	FALSE	AA	C
P-04	M_MTX_1	Methotrexate	1	FALSE	AA	C
T-03	M_MTX_1	Methotrexate	1	FALSE	AA	C
T-04	M_MTX_1	Methotrexate	0.6694791540378815	FALSE	AA	C
A-10	M_MTX_1	Methotrexate	0.002732803598949051	TRUE	AA	C
T-05	M_MTX_1	Methotrexate	0.9908476051627244	FALSE	AA	C
C911	M_MTX_1	Methotrexate	1	FALSE	AA	C
A-01	M_MMF_9	Mycophenolate Mofetil	9.034218416373824e-10	TRUE	AA	C
A-02	M_MMF_9	Mycophenolate Mofetil	5.04040751047523e-8	TRUE	AA	C
A-03	M_MMF_9	Mycophenolate Mofetil	0.0011590648867789077	TRUE	AA	C
A-04	M_MMF_9	Mycophenolate Mofetil	1.9699696066784207e-6	TRUE	AA	C
A-05	M_MMF_9	Mycophenolate Mofetil	1.0638614105087452e-8	TRUE	AA	C
C901	M_MMF_9	Mycophenolate Mofetil	1	FALSE	AA	C
A-06	M_MMF_9	Mycophenolate Mofetil	4.750797261615724e-8	TRUE	AA	C
A-07	M_MMF_9	Mycophenolate Mofetil	5.466407242263591e-7	TRUE	AA	C
A-08	M_MMF_9	Mycophenolate Mofetil	1.1932596569806103e-7	TRUE	AA	C
A-09	M_MMF_9	Mycophenolate Mofetil	0.001037428031890373	TRUE	AA	C
C902	M_MMF_9	Mycophenolate Mofetil	1	FALSE	AA	C
T-01	M_MMF_9	Mycophenolate Mofetil	4.9365880969595235e-6	TRUE	AA	C
P-01	M_MMF_9	Mycophenolate Mofetil	6.437872227588455e-5	TRUE	AA	C
P-02	M_MMF_9	Mycophenolate Mofetil	6.816896751242781e-5	TRUE	AA	C
