Strain	index	parent_compound	pval	hit	Oxygen	Type
T-02	M_PREDNISONE_1	Prednisone	0.021479307287997726	FALSE	MA	C
P-01	M_PREDNISONE_1	Prednisone	0.5766969524435297	FALSE	MA	C
P-02	M_PREDNISONE_1	Prednisone	0.42980922734249455	FALSE	MA	C
P-03	M_PREDNISONE_1	Prednisone	1	FALSE	MA	C
C908	M_PREDNISONE_1	Prednisone	1	FALSE	MA	C
A-01	M_PREDNISONE_1	Prednisone	1	FALSE	MA	C
A-02	M_PREDNISONE_1	Prednisone	9.405329835468747e-5	TRUE	MA	C
A-03	M_PREDNISONE_1	Prednisone	1	FALSE	MA	C
A-04	M_PREDNISONE_1	Prednisone	0.9931007922201137	FALSE	MA	C
A-05	M_PREDNISONE_1	Prednisone	1	FALSE	MA	C
C906	M_PREDNISONE_1	Prednisone	1	FALSE	MA	C
A-06	M_CORTISONE_1	Cortisone	1	FALSE	MA	C
A-07	M_CORTISONE_1	Cortisone	0.27568863742333427	FALSE	MA	C
A-08	M_CORTISONE_1	Cortisone	1	FALSE	MA	C
A-09	M_CORTISONE_1	Cortisone	1	FALSE	MA	C
C907	M_CORTISONE_1	Cortisone	1	FALSE	MA	C
T-04	M_CORTISONE_1	Cortisone	0.2116976678404898	FALSE	MA	C
A-10	M_CORTISONE_1	Cortisone	1	FALSE	MA	C
T-03	M_CORTISONE_1	Cortisone	1	FALSE	MA	C
P-04	M_CORTISONE_1	Cortisone	1	FALSE	MA	C
C909	M_CORTISONE_1	Cortisone	1	FALSE	MA	C
T-05	M_CORTISONE_1	Cortisone	1	FALSE	MA	C
T-01	M_CORTISONE_1	Cortisone	1	FALSE	MA	C
T-02	M_CORTISONE_1	Cortisone	0.5470790514425113	FALSE	MA	C
P-01	M_CORTISONE_1	Cortisone	1	FALSE	MA	C
P-02	M_CORTISONE_1	Cortisone	1	FALSE	MA	C
P-03	M_CORTISONE_1	Cortisone	0.5766969524435297	FALSE	MA	C
C908	M_CORTISONE_1	Cortisone	1	FALSE	MA	C
A-01	M_CORTISONE_1	Cortisone	1	FALSE	MA	C
A-02	M_CORTISONE_1	Cortisone	0.06712222240021666	FALSE	MA	C
A-03	M_CORTISONE_1	Cortisone	1	FALSE	MA	C
A-04	M_CORTISONE_1	Cortisone	0.5766969524435297	FALSE	MA	C
A-05	M_CORTISONE_1	Cortisone	1	FALSE	MA	C
C906	M_CORTISONE_1	Cortisone	1	FALSE	MA	C
A-06	M_PREDNISOLONE_4	Prednisolone	1	FALSE	MA	C
A-07	M_PREDNISOLONE_4	Prednisolone	0.008983272488471888	TRUE	MA	C
A-08	M_PREDNISOLONE_4	Prednisolone	1	FALSE	MA	C
A-09	M_PREDNISOLONE_4	Prednisolone	1	FALSE	MA	C
C907	M_PREDNISOLONE_4	Prednisolone	1	FALSE	MA	C
T-01	M_PREDNISOLONE_4	Prednisolone	1	FALSE	MA	C
T-02	M_PREDNISOLONE_4	Prednisolone	5.563201936928597e-4	TRUE	MA	C
P-01	M_PREDNISOLONE_4	Prednisolone	0.9748742583051643	FALSE	MA	C
P-02	M_PREDNISOLONE_4	Prednisolone	0.21049496316598407	FALSE	MA	C
P-03	M_PREDNISOLONE_4	Prednisolone	1	FALSE	MA	C
C908	M_PREDNISOLONE_4	Prednisolone	1	FALSE	MA	C
P-04	M_PREDNISOLONE_4	Prednisolone	0.5766969524435297	FALSE	MA	C
T-03	M_PREDNISOLONE_4	Prednisolone	1	FALSE	MA	C
T-04	M_PREDNISOLONE_4	Prednisolone	1	FALSE	MA	C
A-10	M_PREDNISOLONE_4	Prednisolone	1	FALSE	MA	C
T-05	M_PREDNISOLONE_4	Prednisolone	0.5979856497939573	FALSE	MA	C
C909	M_PREDNISOLONE_4	Prednisolone	1	FALSE	MA	C
A-01	M_PREDNISOLONE_4	Prednisolone	1	FALSE	MA	C
A-02	M_PREDNISOLONE_4	Prednisolone	6.94141638972152e-5	TRUE	MA	C
A-03	M_PREDNISOLONE_4	Prednisolone	1	FALSE	MA	C
A-04	M_PREDNISOLONE_4	Prednisolone	0.013563060083853799	TRUE	MA	C
A-05	M_PREDNISOLONE_4	Prednisolone	1	FALSE	MA	C
C906	M_PREDNISOLONE_4	Prednisolone	1	FALSE	MA	C
A-06	M_HYDROCORTISONE_2	Hydrocortisone	0.6083384381526411	FALSE	MA	C
A-07	M_HYDROCORTISONE_2	Hydrocortisone	0.30457240602413227	FALSE	MA	C
A-08	M_HYDROCORTISONE_2	Hydrocortisone	0.1230329479427772	FALSE	MA	C
A-09	M_HYDROCORTISONE_2	Hydrocortisone	0.12514381319823095	FALSE	MA	C
C907	M_HYDROCORTISONE_2	Hydrocortisone	1	FALSE	MA	C
T-01	M_HYDROCORTISONE_2	Hydrocortisone	0.047111060285109446	TRUE	MA	C
T-02	M_HYDROCORTISONE_2	Hydrocortisone	0.043742684633902476	FALSE	MA	C
P-01	M_HYDROCORTISONE_2	Hydrocortisone	1	FALSE	MA	C
P-02	M_HYDROCORTISONE_2	Hydrocortisone	1	FALSE	MA	C
P-03	M_HYDROCORTISONE_2	Hydrocortisone	0.6343683646963011	FALSE	MA	C
C908	M_HYDROCORTISONE_2	Hydrocortisone	1	FALSE	MA	C
P-04	M_HYDROCORTISONE_2	Hydrocortisone	0.001166658430717874	TRUE	MA	C
T-03	M_HYDROCORTISONE_2	Hydrocortisone	0.334103872698605	FALSE	MA	C
T-04	M_HYDROCORTISONE_2	Hydrocortisone	1	FALSE	MA	C
A-10	M_HYDROCORTISONE_2	Hydrocortisone	0.021479307287997726	TRUE	MA	C
T-05	M_HYDROCORTISONE_2	Hydrocortisone	1	FALSE	MA	C
C909	M_HYDROCORTISONE_2	Hydrocortisone	1	FALSE	MA	C
A-01	M_HYDROCORTISONE_2	Hydrocortisone	3.1587389497161865e-11	TRUE	MA	C
A-02	M_HYDROCORTISONE_2	Hydrocortisone	1	FALSE	MA	C
A-03	M_HYDROCORTISONE_2	Hydrocortisone	3.642099987193283e-6	TRUE	MA	C
A-04	M_HYDROCORTISONE_2	Hydrocortisone	1	FALSE	MA	C
A-05	M_HYDROCORTISONE_2	Hydrocortisone	7.451617344407948e-6	TRUE	MA	C
C906	M_HYDROCORTISONE_2	Hydrocortisone	1	FALSE	MA	C
A-06	M_BETAMETHASONE_1	Betamethasone	0.05590039581632972	FALSE	MA	C
A-07	M_BETAMETHASONE_1	Betamethasone	1.948017929549017e-4	TRUE	MA	C
A-08	M_BETAMETHASONE_1	Betamethasone	1.400257446870754e-7	TRUE	MA	C
A-09	M_BETAMETHASONE_1	Betamethasone	1.263574610987596e-6	TRUE	MA	C
C907	M_BETAMETHASONE_1	Betamethasone	1	FALSE	MA	C
T-01	M_BETAMETHASONE_1	Betamethasone	0.4833278205816724	FALSE	MA	C
T-02	M_BETAMETHASONE_1	Betamethasone	1.1458251236351555e-23	TRUE	MA	C
P-01	M_BETAMETHASONE_1	Betamethasone	1	FALSE	MA	C
P-02	M_BETAMETHASONE_1	Betamethasone	0.9748742583051643	FALSE	MA	C
P-03	M_BETAMETHASONE_1	Betamethasone	0.8151845252362478	FALSE	MA	C
C908	M_BETAMETHASONE_1	Betamethasone	1	FALSE	MA	C
P-04	M_BETAMETHASONE_1	Betamethasone	0.4972166829162621	FALSE	MA	C
T-03	M_BETAMETHASONE_1	Betamethasone	0.5063599463433992	FALSE	MA	C
T-04	M_BETAMETHASONE_1	Betamethasone	0.911215010822017	FALSE	MA	C
A-10	M_BETAMETHASONE_1	Betamethasone	1	FALSE	MA	C
T-05	M_BETAMETHASONE_1	Betamethasone	0.9748742583051643	FALSE	MA	C
C909	M_BETAMETHASONE_1	Betamethasone	1	FALSE	MA	C
A-01	M_BETAMETHASONE_1	Betamethasone	1	FALSE	MA	C
A-02	M_BETAMETHASONE_1	Betamethasone	1.3798836560176906e-7	TRUE	MA	C
A-03	M_BETAMETHASONE_1	Betamethasone	1	FALSE	MA	C
A-04	M_BETAMETHASONE_1	Betamethasone	0.002715301631406833	TRUE	MA	C
A-05	M_BETAMETHASONE_1	Betamethasone	1	FALSE	MA	C
C906	M_BETAMETHASONE_1	Betamethasone	1	FALSE	MA	C
A-06	M_DEXAMETHASONE_3	Dexamethasone	0.03234479127788004	TRUE	MA	C
A-07	M_DEXAMETHASONE_3	Dexamethasone	1.0759998872159438e-4	TRUE	MA	C
A-08	M_DEXAMETHASONE_3	Dexamethasone	1.1852634273891109e-7	TRUE	MA	C
A-09	M_DEXAMETHASONE_3	Dexamethasone	8.579219815482598e-9	TRUE	MA	C
C907	M_DEXAMETHASONE_3	Dexamethasone	1	FALSE	MA	C
T-01	M_DEXAMETHASONE_3	Dexamethasone	0.0031573899365585504	TRUE	MA	C
T-02	M_DEXAMETHASONE_3	Dexamethasone	2.0442114239444814e-8	TRUE	MA	C
P-01	M_DEXAMETHASONE_3	Dexamethasone	0.562038249292185	FALSE	MA	C
P-02	M_DEXAMETHASONE_3	Dexamethasone	1	FALSE	MA	C
P-03	M_DEXAMETHASONE_3	Dexamethasone	0.5805749695740618	FALSE	MA	C
C908	M_DEXAMETHASONE_3	Dexamethasone	1	FALSE	MA	C
P-04	M_DEXAMETHASONE_3	Dexamethasone	1	FALSE	MA	C
T-03	M_DEXAMETHASONE_3	Dexamethasone	1	FALSE	MA	C
T-04	M_DEXAMETHASONE_3	Dexamethasone	0.20736181931705677	FALSE	MA	C
A-10	M_DEXAMETHASONE_3	Dexamethasone	0.13322766948729606	FALSE	MA	C
T-05	M_DEXAMETHASONE_3	Dexamethasone	0.20717253735116473	FALSE	MA	C
C909	M_DEXAMETHASONE_3	Dexamethasone	1	FALSE	MA	C
A-01	M_DEXAMETHASONE_3	Dexamethasone	1	FALSE	MA	C
A-02	M_DEXAMETHASONE_3	Dexamethasone	2.9619290230016715e-5	TRUE	MA	C
A-03	M_DEXAMETHASONE_3	Dexamethasone	1	FALSE	MA	C
A-04	M_DEXAMETHASONE_3	Dexamethasone	0.11625735783070508	FALSE	MA	C
A-05	M_DEXAMETHASONE_3	Dexamethasone	1	FALSE	MA	C
C906	M_DEXAMETHASONE_3	Dexamethasone	1	FALSE	MA	C
A-06	M_PREDNISONE_2	Prednisone	1	FALSE	MA	C
A-07	M_PREDNISONE_2	Prednisone	1	FALSE	MA	C
A-08	M_PREDNISONE_2	Prednisone	1	FALSE	MA	C
A-09	M_PREDNISONE_2	Prednisone	0.3733201055048475	FALSE	MA	C
C907	M_PREDNISONE_2	Prednisone	1	FALSE	MA	C
T-04	M_PREDNISONE_2	Prednisone	0.834182077318991	FALSE	MA	C
A-10	M_PREDNISONE_2	Prednisone	0.006942053531302351	TRUE	MA	C
T-03	M_PREDNISONE_2	Prednisone	0.5525963213160833	FALSE	MA	C
P-04	M_PREDNISONE_2	Prednisone	0.9076903716011804	FALSE	MA	C
C909	M_PREDNISONE_2	Prednisone	1	FALSE	MA	C
T-05	M_PREDNISONE_2	Prednisone	0.08825274306659123	FALSE	MA	C
T-01	M_PREDNISONE_2	Prednisone	0.15210872527388353	FALSE	MA	C
T-02	M_PREDNISONE_2	Prednisone	1	FALSE	MA	C
P-01	M_PREDNISONE_2	Prednisone	4.7853484815497233e-4	TRUE	MA	C
P-02	M_PREDNISONE_2	Prednisone	0.8881946418918154	FALSE	MA	C
P-03	M_PREDNISONE_2	Prednisone	1	FALSE	MA	C
C908	M_PREDNISONE_2	Prednisone	1	FALSE	MA	C
A-01	M_PREDNISONE_2	Prednisone	1	FALSE	MA	C
A-02	M_PREDNISONE_2	Prednisone	1	FALSE	MA	C
A-03	M_PREDNISONE_2	Prednisone	1	FALSE	MA	C
A-04	M_PREDNISONE_2	Prednisone	0.12513899926524438	FALSE	MA	C
A-05	M_PREDNISONE_2	Prednisone	1	FALSE	MA	C
C906	M_PREDNISONE_2	Prednisone	1	FALSE	MA	C
A-06	M_METHYLPREDNISOLONE_1	Methylprednisolone	0.5979856497939573	FALSE	MA	C
A-07	M_METHYLPREDNISOLONE_1	Methylprednisolone	2.1645756819234635e-6	TRUE	MA	C
A-08	M_METHYLPREDNISOLONE_1	Methylprednisolone	2.1603298267533016e-9	TRUE	MA	C
A-09	M_METHYLPREDNISOLONE_1	Methylprednisolone	2.0713485542346547e-4	TRUE	MA	C
C907	M_METHYLPREDNISOLONE_1	Methylprednisolone	1	FALSE	MA	C
T-01	M_METHYLPREDNISOLONE_1	Methylprednisolone	0.32042956624305474	FALSE	MA	C
T-02	M_METHYLPREDNISOLONE_1	Methylprednisolone	0.011375898627287438	TRUE	MA	C
P-01	M_METHYLPREDNISOLONE_1	Methylprednisolone	0.5805749695740618	FALSE	MA	C
P-02	M_METHYLPREDNISOLONE_1	Methylprednisolone	0.4719518973049738	FALSE	MA	C
P-03	M_METHYLPREDNISOLONE_1	Methylprednisolone	1	FALSE	MA	C
C908	M_METHYLPREDNISOLONE_1	Methylprednisolone	1	FALSE	MA	C
P-04	M_METHYLPREDNISOLONE_1	Methylprednisolone	0.32042956624305474	FALSE	MA	C
T-03	M_METHYLPREDNISOLONE_1	Methylprednisolone	0.5979856497939573	FALSE	MA	C
T-04	M_METHYLPREDNISOLONE_1	Methylprednisolone	1	FALSE	MA	C
A-10	M_METHYLPREDNISOLONE_1	Methylprednisolone	1	FALSE	MA	C
T-05	M_METHYLPREDNISOLONE_1	Methylprednisolone	1	FALSE	MA	C
C909	M_METHYLPREDNISOLONE_1	Methylprednisolone	1	FALSE	MA	C
A-01	M_METHYLPREDNISOLONE_1	Methylprednisolone	1	FALSE	MA	C
A-02	M_METHYLPREDNISOLONE_1	Methylprednisolone	1.5412721714089974e-5	TRUE	MA	C
A-03	M_METHYLPREDNISOLONE_1	Methylprednisolone	1	FALSE	MA	C
A-04	M_METHYLPREDNISOLONE_1	Methylprednisolone	0.028922645328099236	TRUE	MA	C
A-05	M_METHYLPREDNISOLONE_1	Methylprednisolone	1	FALSE	MA	C
C906	M_METHYLPREDNISOLONE_1	Methylprednisolone	1	FALSE	MA	C
A-06	M_METHYLPREDNISOLONE_2	Methylprednisolone	1	FALSE	MA	C
A-07	M_METHYLPREDNISOLONE_2	Methylprednisolone	1	FALSE	MA	C
A-08	M_METHYLPREDNISOLONE_2	Methylprednisolone	1	FALSE	MA	C
A-09	M_METHYLPREDNISOLONE_2	Methylprednisolone	0.10367869582326321	FALSE	MA	C
C907	M_METHYLPREDNISOLONE_2	Methylprednisolone	1	FALSE	MA	C
T-01	M_METHYLPREDNISOLONE_2	Methylprednisolone	5.933933032965335e-4	TRUE	MA	C
T-02	M_METHYLPREDNISOLONE_2	Methylprednisolone	1	FALSE	MA	C
P-01	M_METHYLPREDNISOLONE_2	Methylprednisolone	0.027619813639264593	FALSE	MA	C
P-02	M_METHYLPREDNISOLONE_2	Methylprednisolone	0.00987860907511421	FALSE	MA	C
P-03	M_METHYLPREDNISOLONE_2	Methylprednisolone	0.047111060285109446	FALSE	MA	C
C908	M_METHYLPREDNISOLONE_2	Methylprednisolone	1	FALSE	MA	C
P-04	M_METHYLPREDNISOLONE_2	Methylprednisolone	0.0045786066129671925	FALSE	MA	C
T-03	M_METHYLPREDNISOLONE_2	Methylprednisolone	1	FALSE	MA	C
T-04	M_METHYLPREDNISOLONE_2	Methylprednisolone	1	FALSE	MA	C
A-10	M_METHYLPREDNISOLONE_2	Methylprednisolone	0.0012788971460854911	TRUE	MA	C
T-05	M_METHYLPREDNISOLONE_2	Methylprednisolone	1.4786493083949315e-4	TRUE	MA	C
C909	M_METHYLPREDNISOLONE_2	Methylprednisolone	1	FALSE	MA	C
A-01	M_METHYLPREDNISOLONE_2	Methylprednisolone	1	FALSE	MA	C
A-02	M_METHYLPREDNISOLONE_2	Methylprednisolone	1	FALSE	MA	C
A-03	M_METHYLPREDNISOLONE_2	Methylprednisolone	0.3865973496237084	FALSE	MA	C
A-04	M_METHYLPREDNISOLONE_2	Methylprednisolone	0.04756942831050506	TRUE	MA	C
A-05	M_METHYLPREDNISOLONE_2	Methylprednisolone	1	FALSE	MA	C
C906	M_METHYLPREDNISOLONE_2	Methylprednisolone	1	FALSE	MA	C
A-06	M_TACROLIMUS_8	Tacrolimus	2.583595181187823e-5	TRUE	MA	C
A-07	M_TACROLIMUS_8	Tacrolimus	6.425143836392895e-6	TRUE	MA	C
A-08	M_TACROLIMUS_8	Tacrolimus	2.6759594480244184e-6	TRUE	MA	C
A-09	M_TACROLIMUS_8	Tacrolimus	3.394794340242809e-6	TRUE	MA	C
C907	M_TACROLIMUS_8	Tacrolimus	1	FALSE	MA	C
T-01	M_TACROLIMUS_8	Tacrolimus	0.01613007736488235	TRUE	MA	C
T-02	M_TACROLIMUS_8	Tacrolimus	2.996854077002397e-7	TRUE	MA	C
P-01	M_TACROLIMUS_8	Tacrolimus	0.42980922734249455	FALSE	MA	C
P-02	M_TACROLIMUS_8	Tacrolimus	0.9204683720178292	FALSE	MA	C
P-03	M_TACROLIMUS_8	Tacrolimus	1	FALSE	MA	C
C908	M_TACROLIMUS_8	Tacrolimus	1	FALSE	MA	C
P-04	M_TACROLIMUS_8	Tacrolimus	1	FALSE	MA	C
T-03	M_TACROLIMUS_8	Tacrolimus	0.4972166829162621	FALSE	MA	C
T-04	M_TACROLIMUS_8	Tacrolimus	0.03280950933851195	TRUE	MA	C
A-10	M_TACROLIMUS_8	Tacrolimus	4.948058571463617e-5	TRUE	MA	C
T-05	M_TACROLIMUS_8	Tacrolimus	2.791612710042236e-7	TRUE	MA	C
C909	M_TACROLIMUS_8	Tacrolimus	1	FALSE	MA	C
A-01	M_TACROLIMUS_8	Tacrolimus	1	FALSE	MA	C
A-02	M_TACROLIMUS_8	Tacrolimus	1.5222734975188723e-5	TRUE	MA	C
A-03	M_TACROLIMUS_8	Tacrolimus	0.010379621415209	TRUE	MA	C
A-04	M_TACROLIMUS_8	Tacrolimus	1.0736180289001423e-6	TRUE	MA	C
A-05	M_TACROLIMUS_8	Tacrolimus	0.001556935119554799	TRUE	MA	C
C906	M_TACROLIMUS_8	Tacrolimus	1	FALSE	MA	C
A-06	M_SIROLIMUS_1	Sirolimus	2.583595181187823e-5	TRUE	MA	C
A-07	M_SIROLIMUS_1	Sirolimus	6.282656994252295e-7	TRUE	MA	C
A-08	M_SIROLIMUS_1	Sirolimus	1.0215161948780754e-6	TRUE	MA	C
A-09	M_SIROLIMUS_1	Sirolimus	8.372720769306112e-6	TRUE	MA	C
C907	M_SIROLIMUS_1	Sirolimus	1	FALSE	MA	C
T-01	M_SIROLIMUS_1	Sirolimus	0.1013001291132803	FALSE	MA	C
T-02	M_SIROLIMUS_1	Sirolimus	0.013461520193614629	TRUE	MA	C
P-01	M_SIROLIMUS_1	Sirolimus	0.579300078544732	FALSE	MA	C
P-02	M_SIROLIMUS_1	Sirolimus	1	FALSE	MA	C
P-03	M_SIROLIMUS_1	Sirolimus	0.40760635310625404	FALSE	MA	C
C908	M_SIROLIMUS_1	Sirolimus	1	FALSE	MA	C
P-04	M_SIROLIMUS_1	Sirolimus	0.5002791828442674	FALSE	MA	C
T-03	M_SIROLIMUS_1	Sirolimus	0.524078775619352	FALSE	MA	C
T-04	M_SIROLIMUS_1	Sirolimus	1	FALSE	MA	C
A-10	M_SIROLIMUS_1	Sirolimus	0.245524532845353	FALSE	MA	C
T-05	M_SIROLIMUS_1	Sirolimus	1	FALSE	MA	C
C909	M_SIROLIMUS_1	Sirolimus	1	FALSE	MA	C
A-01	M_SIROLIMUS_1	Sirolimus	1	FALSE	MA	C
A-02	M_SIROLIMUS_1	Sirolimus	0.00598864009474676	TRUE	MA	C
A-03	M_SIROLIMUS_1	Sirolimus	1	FALSE	MA	C
A-04	M_SIROLIMUS_1	Sirolimus	0.0053328325093008324	TRUE	MA	C
A-05	M_SIROLIMUS_1	Sirolimus	1	FALSE	MA	C
C906	M_SIROLIMUS_1	Sirolimus	1	FALSE	MA	C
A-06	M_AZATHIOPRINE_1	Azathioprine	0.632560944400552	FALSE	MA	C
A-07	M_AZATHIOPRINE_1	Azathioprine	0.06124256637292698	FALSE	MA	C
A-08	M_AZATHIOPRINE_1	Azathioprine	1	FALSE	MA	C
A-09	M_AZATHIOPRINE_1	Azathioprine	0.05353956973061549	FALSE	MA	C
C907	M_AZATHIOPRINE_1	Azathioprine	1	FALSE	MA	C
T-01	M_AZATHIOPRINE_1	Azathioprine	0.20736181931705677	FALSE	MA	C
T-02	M_AZATHIOPRINE_1	Azathioprine	0.29065138504390103	FALSE	MA	C
P-01	M_AZATHIOPRINE_1	Azathioprine	0.20736181931705677	FALSE	MA	C
P-02	M_AZATHIOPRINE_1	Azathioprine	0.834182077318991	FALSE	MA	C
P-03	M_AZATHIOPRINE_1	Azathioprine	1	FALSE	MA	C
C908	M_AZATHIOPRINE_1	Azathioprine	1	FALSE	MA	C
P-04	M_AZATHIOPRINE_1	Azathioprine	0.1396527568338849	FALSE	MA	C
T-03	M_AZATHIOPRINE_1	Azathioprine	0.015994294993629886	TRUE	MA	C
T-04	M_AZATHIOPRINE_1	Azathioprine	0.33172554740533666	FALSE	MA	C
A-10	M_AZATHIOPRINE_1	Azathioprine	0.09637305184308961	FALSE	MA	C
T-05	M_AZATHIOPRINE_1	Azathioprine	1	FALSE	MA	C
C909	M_AZATHIOPRINE_1	Azathioprine	1	FALSE	MA	C
A-01	M_AZATHIOPRINE_1	Azathioprine	0.09147614332495459	FALSE	MA	C
A-02	M_AZATHIOPRINE_1	Azathioprine	1	FALSE	MA	C
A-03	M_AZATHIOPRINE_1	Azathioprine	0.2754464214117721	FALSE	MA	C
A-04	M_AZATHIOPRINE_1	Azathioprine	0.16229434623421418	FALSE	MA	C
A-05	M_AZATHIOPRINE_1	Azathioprine	8.401433699427378e-4	TRUE	MA	C
C906	M_AZATHIOPRINE_1	Azathioprine	1	FALSE	MA	C
A-06	M_MTX_1	Methotrexate	1.1891209318486875e-14	TRUE	MA	C
A-07	M_MTX_1	Methotrexate	1.969694315366154e-13	TRUE	MA	C
A-08	M_MTX_1	Methotrexate	5.2403938297392215e-21	TRUE	MA	C
A-09	M_MTX_1	Methotrexate	1.6910698655547125e-29	TRUE	MA	C
C907	M_MTX_1	Methotrexate	1	FALSE	MA	C
T-04	M_MTX_1	Methotrexate	0.911215010822017	FALSE	MA	C
A-10	M_MTX_1	Methotrexate	1.639205262241733e-27	TRUE	MA	C
T-03	M_MTX_1	Methotrexate	0.19117382144361442	FALSE	MA	C
P-04	M_MTX_1	Methotrexate	0.3790605116617375	FALSE	MA	C
C909	M_MTX_1	Methotrexate	1	FALSE	MA	C
T-05	M_MTX_1	Methotrexate	5.074835788780529e-10	TRUE	MA	C
T-01	M_MTX_1	Methotrexate	5.840435183291413e-40	TRUE	MA	C
T-02	M_MTX_1	Methotrexate	8.128994235314435e-14	TRUE	MA	C
P-01	M_MTX_1	Methotrexate	0.32782737923376637	FALSE	MA	C
P-02	M_MTX_1	Methotrexate	1	FALSE	MA	C
P-03	M_MTX_1	Methotrexate	0.42980922734249455	FALSE	MA	C
C908	M_MTX_1	Methotrexate	1	FALSE	MA	C
A-01	M_MTX_1	Methotrexate	0.8745512208537596	FALSE	MA	C
A-02	M_MTX_1	Methotrexate	1.640393429602733e-13	TRUE	MA	C
A-03	M_MTX_1	Methotrexate	0.09408932262883092	FALSE	MA	C
A-04	M_MTX_1	Methotrexate	1.5996571857793225e-7	TRUE	MA	C
A-05	M_MTX_1	Methotrexate	0.25901348221988596	FALSE	MA	C
C906	M_MTX_1	Methotrexate	1	FALSE	MA	C
A-06	M_MMF_9	Mycophenolate Mofetil	0.042247949049104803	TRUE	MA	C
A-07	M_MMF_9	Mycophenolate Mofetil	0.039098258844048606	TRUE	MA	C
A-08	M_MMF_9	Mycophenolate Mofetil	0.04098682113364335	TRUE	MA	C
A-09	M_MMF_9	Mycophenolate Mofetil	0.08825274306659123	FALSE	MA	C
C907	M_MMF_9	Mycophenolate Mofetil	1	FALSE	MA	C
T-01	M_MMF_9	Mycophenolate Mofetil	0.0021501692385993785	TRUE	MA	C
P-01	M_MMF_9	Mycophenolate Mofetil	1.0333246295806768e-8	TRUE	MA	C
P-02	M_MMF_9	Mycophenolate Mofetil	6.859510858755151e-4	TRUE	MA	C
P-03	M_MMF_9	Mycophenolate Mofetil	2.044420855046477e-4	TRUE	MA	C
C908	M_MMF_9	Mycophenolate Mofetil	1	FALSE	MA	C
P-04	M_MMF_9	Mycophenolate Mofetil	2.1645756819234635e-6	TRUE	MA	C
T-03	M_MMF_9	Mycophenolate Mofetil	1.1857914221290977e-4	TRUE	MA	C
A-10	M_MMF_9	Mycophenolate Mofetil	0.043997535447914494	TRUE	MA	C
C909	M_MMF_9	Mycophenolate Mofetil	1	FALSE	MA	C
A-01	M_MMF_9	Mycophenolate Mofetil	0.01618127233127417	TRUE	MA	C
A-02	M_MMF_9	Mycophenolate Mofetil	0.1396527568338849	FALSE	MA	C
A-03	M_MMF_9	Mycophenolate Mofetil	1	FALSE	MA	C
